Asignatura,1P,2P,Taller,Aprobado
2,11,10,2,0
2,13,24,7,1
2,17,16,5,0
2,20,20,3,0
2,4,11,7,0
2,14,27,5,1
2,12,13,3,0
2,9,19,7,1
2,19,17,9,1
2,7,12,5,0
2,20,16,3,1
2,12,9,3,0
2,12,12,2,0
0,15,11,10,0
0,7,10,10,0
0,14,7,8,0
0,7,10,10,0
0,11,6,8,0
0,18,18,6,0
0,15,18,10,1
0,13,13,8,0
0,11,5,6,0
0,16,11,8,0
0,15,0,3,0
0,15,2,8,0
0,13,10,7,0
0,10,12,7,0
0,15,4,6,0
0,13,8,6,0
0,6,17,6,0
0,13,8,6,0
0,12,13,6,0
0,18,16,6,0
0,5,13,8,0
0,12,6,6,0
0,14,5,10,0
0,17,16,6,1
0,13,9,9,0
0,17,18,7,1
0,13,12,6,0
0,10,22,6,1
0,15,19,8,1
0,15,11,6,0
0,16,18,9,0
0,9,24,6,0
0,13,17,6,0
0,15,10,8,0
0,20,10,6,0
0,13,8,7,0
0,13,22,9,1
0,9,14,6,0
0,15,5,2,0
0,12,20,7,0
0,13,16,6,1
0,12,25,9,0
0,6,12,3,0
0,18,20,9,1
0,15,16,10,0
0,15,5,8,0
0,11,11,6,0
0,20,20,7,1
0,6,11,8,0
0,6,15,2,0
0,11,7,6,0
0,15,22,10,1
0,14,9,6,0
0,16,11,8,0
0,13,11,6,0
0,13,17,8,0
0,15,10,7,0
0,17,14,6,0
0,16,12,6,0
0,20,12,8,1
0,14,14,7,0
0,17,7,8,0
0,18,7,6,0
0,15,13,8,0
0,17,16,6,0
0,21,31,9,1
0,18,12,6,0
0,12,20,8,0
0,13,16,4,0
0,21,22,9,1
0,12,12,9,0
0,21,10,8,0
0,15,6,6,0
0,7,10,6,0
0,16,18,9,1
0,14,20,6,0
0,17,18,7,1
0,13,27,9,1
0,20,30,10,1
0,16,11,9,0
0,17,16,6,0
0,11,22,9,0
0,9,9,6,0
0,13,8,7,0
0,12,22,6,0
0,12,8,6,0
0,16,7,7,0
0,17,21,6,1
0,21,34,10,1
0,20,15,8,1
0,10,29,10,1
0,17,34,10,1
0,14,7,6,0
0,11,8,6,0
0,23,22,10,1
0,15,15,6,0
0,15,3,8,0
0,15,25,6,1
0,17,15,6,1
0,14,29,10,1
0,11,6,7,0
0,8,8,6,0
0,16,15,9,1
0,16,24,6,1
0,12,5,6,0
0,14,10,6,0
0,17,15,10,1
0,18,23,9,1
0,12,23,6,0
0,21,22,9,1
0,12,23,8,1
0,17,21,7,1
0,12,9,6,0
0,18,16,9,1
0,13,10,8,0
0,15,18,9,0
0,18,16,7,0
0,15,11,6,0
0,17,12,6,0
0,15,14,6,0
0,15,25,3,0
0,9,12,6,0
0,14,12,6,0
0,17,22,9,1
0,13,17,10,0
0,21,6,8,0
0,13,14,8,0
0,19,12,6,0
0,13,14,6,0
0,17,18,7,1
0,17,12,6,1
0,18,4,3,0
0,19,28,9,1
0,9,7,6,0
0,13,18,9,0
0,8,8,6,0
0,17,22,8,1
0,13,17,6,1
0,16,24,9,1
0,19,10,6,0
0,16,15,3,0
0,14,18,7,0
0,13,29,10,1
0,15,24,9,1
0,4,25,6,0
0,14,9,4,0
0,0,16,6,0
0,10,20,8,0
0,15,16,3,0
0,15,19,8,0
0,17,35,10,1
0,15,24,7,1
0,14,6,6,0
0,4,13,6,0
0,6,9,1,0
0,21,34,10,1
0,15,23,9,1
0,13,4,6,0
0,12,17,6,0
0,12,16,7,1
0,16,32,9,1
0,13,24,10,1
0,15,19,6,0
0,14,13,6,0
0,10,19,6,0
0,20,29,6,1
0,18,21,9,1
0,15,16,10,0
0,9,10,7,0
0,15,18,8,0
0,7,19,2,0
0,9,20,3,0
0,13,17,8,0
0,20,32,9,1
0,18,17,10,1
0,9,17,3,0
0,19,20,6,0
0,22,30,8,1
0,10,31,7,1
0,15,21,7,1
0,18,33,9,1
0,14,22,8,1
0,16,17,4,0
0,17,16,7,1
0,16,24,6,1
0,14,15,6,0
0,13,3,6,0
0,15,23,7,1
0,13,22,6,1
0,20,25,6,0
0,10,7,7,0
0,11,18,7,0
0,17,28,8,1
0,15,15,4,0
0,12,7,6,0
0,8,18,6,0
0,20,9,6,0
0,21,12,6,0
0,19,32,10,1
0,15,6,3,0
0,15,16,6,0
0,13,7,6,0
0,10,14,10,0
0,12,18,8,1
0,15,13,6,0
0,21,30,8,1
0,4,19,8,0
0,16,16,6,0
0,13,20,8,1
0,13,25,6,1
0,17,22,9,1
0,17,10,8,0
0,17,23,6,1
0,19,23,8,1
0,3,16,6,0
0,17,31,8,1
0,16,10,3,0
0,12,17,6,1
0,17,33,8,1
0,13,19,8,1
0,0,15,8,0
0,14,12,4,0
0,12,10,6,0
0,9,18,6,0
0,13,15,7,0
0,15,22,6,1
0,17,9,6,0
0,18,4,4,0
0,17,20,6,1
0,17,9,6,0
0,12,15,6,0
0,13,4,6,0
0,12,9,6,0
0,13,10,6,0
0,17,23,8,1
0,16,23,7,1
0,20,18,6,1
0,12,11,8,0
0,6,9,4,0
0,15,22,10,1
0,16,11,6,0
0,20,23,8,1
0,21,31,10,1
0,15,29,8,1
0,14,33,9,1
0,16,16,6,1
0,12,15,6,0
0,18,31,7,1
0,20,22,9,1
0,12,11,6,0
0,19,12,8,1
0,10,22,6,1
0,18,9,6,0
0,14,16,7,1
0,10,15,6,0
0,11,4,6,0
0,16,12,6,0
0,7,8,8,0
0,12,3,6,0
0,20,26,9,1
0,11,18,7,0
0,20,11,7,0
0,16,14,7,1
0,15,24,10,0
0,13,15,4,0
0,18,20,8,1
0,22,16,8,1
0,18,0,7,0
0,0,23,8,0
0,14,18,9,1
0,20,11,4,0
0,14,5,8,0
0,22,13,7,1
0,18,23,9,1
0,7,15,6,0
0,18,19,6,1
0,11,11,6,0
3,6,12,7,0
3,6,11,5,0
3,10,8,4,0
3,9,10,5,0
3,11,17,9,1
3,9,20,7,1
3,14,1,9,0
3,5,10,4,0
3,11,10,7,0
3,15,10,5,0
3,8,8,9,0
3,6,12,3,0
3,9,18,5,0
3,8,8,5,0
3,10,6,3,0
3,6,9,5,0
3,11,13,5,0
3,22,29,9,1
3,4,12,7,0
3,10,6,2,0
3,6,9,8,0
3,14,13,8,0
3,8,20,10,0
3,11,12,9,0
3,7,11,7,0
3,9,7,5,0
3,11,7,8,0
3,17,23,9,1
3,9,12,8,0
3,11,8,8,0
3,13,9,7,0
3,12,18,8,1
3,12,15,9,0
3,7,12,9,0
3,6,21,8,0
3,13,11,5,0
3,12,16,7,0
3,10,17,5,0
3,12,15,8,0
3,9,10,8,0
3,4,15,6,0
3,11,18,8,0
3,17,25,10,1
3,6,15,8,0
3,10,14,8,0
3,6,16,6,0
3,10,8,6,0
3,6,11,5,0
3,7,23,5,0
3,13,16,2,0
3,8,9,5,0
3,12,19,8,0
3,11,9,9,0
3,9,6,2,0
3,10,9,8,0
3,0,15,7,0
3,18,22,9,1
3,6,19,3,0
3,15,7,4,0
3,7,12,5,0
3,9,8,2,0
3,0,18,2,0
3,7,8,8,0
3,7,8,8,0
3,12,20,7,1
3,15,12,8,1
3,13,22,9,1
3,7,15,7,0
3,11,6,7,0
3,6,18,6,0
3,5,11,6,0
3,13,20,7,0
3,6,9,6,0
3,12,9,5,0
3,14,27,9,1
3,13,12,5,0
3,7,20,8,0
3,0,16,9,0
3,15,16,8,0
3,10,8,4,0
3,11,5,7,0
3,14,22,6,1
3,11,14,10,1
1,8,14,2,0
1,11,17,3,0
1,6,10,3,0
1,15,19,3,1
1,5,10,2,0
1,13,24,5,0
1,7,10,4,0
1,6,9,4,0
1,8,17,4,0
1,6,12,5,0
1,9,10,5,0
1,10,8,2,0
1,9,12,2,0
1,10,17,5,0
1,3,13,4,0
1,5,10,7,0
1,8,10,3,0
1,8,15,4,0
1,11,20,4,0
1,9,9,4,0
1,13,22,5,0
1,8,14,5,0
1,14,13,5,0
1,7,11,4,0
1,11,22,2,1
1,4,11,4,0
1,5,15,2,0
1,9,8,5,0
1,5,11,4,0
1,11,14,5,0
1,7,10,3,0
1,10,9,4,0
1,15,20,3,1
1,9,17,4,0
1,18,12,5,0
1,13,18,4,0
1,13,20,5,0
1,5,10,4,0
1,7,12,6,0
1,7,8,2,0
1,7,18,4,0
1,14,23,5,0
1,8,7,2,0
1,9,14,5,0
1,13,18,5,0
1,8,8,4,0
1,12,17,2,0
1,11,14,4,0
1,5,13,6,0
1,12,11,6,0
1,8,7,3,0
1,9,11,4,0
1,10,5,5,0
1,6,9,4,0
1,11,11,3,0
1,6,9,4,0
1,10,11,5,0
1,11,15,2,0
1,12,20,5,0
1,12,20,3,0
1,12,8,7,0
1,7,10,2,0
1,14,22,4,1
1,7,15,3,0
1,9,18,4,0
1,11,22,5,0
1,9,9,4,0
1,10,22,6,1
1,10,12,5,0
1,12,15,2,0
1,14,22,4,0
1,7,10,4,0
1,7,21,2,0
1,16,25,5,1
1,14,23,4,0
1,7,8,2,0
1,8,9,2,0
1,10,17,3,0
1,9,12,2,0
1,12,12,3,0
1,7,14,5,0
1,9,28,4,1
1,7,15,6,0
1,5,10,2,0
1,9,19,4,0
1,8,14,6,0
1,8,14,6,0
1,10,21,6,1
1,21,18,3,0
1,6,11,4,0
1,10,22,3,0
1,13,27,3,1
1,10,17,4,0
1,7,22,6,0
1,12,26,6,1
1,11,24,3,0
1,5,16,3,0
1,17,24,5,0
1,10,15,3,0
1,11,25,6,0
1,7,8,6,0
1,8,16,2,0
1,12,18,7,0
1,6,9,5,0
1,11,16,3,0
1,16,30,3,1
1,10,13,5,0
1,7,10,4,0
1,19,32,5,1
1,19,24,6,1
1,9,14,6,0
1,11,22,4,0
1,4,17,5,0
1,7,10,6,0
1,10,19,2,0
1,11,8,4,0
1,10,12,5,0
1,7,8,4,0
1,3,17,5,0
1,12,14,3,0
1,11,20,4,1
1,11,24,8,0
1,11,16,8,0
1,12,21,6,0
1,10,5,3,0
1,8,7,3,0
1,17,23,7,1
1,12,19,4,0
1,19,23,5,1
1,5,10,4,0
1,9,24,4,1
1,6,9,2,0
1,9,6,7,0
1,6,12,7,0
1,9,21,5,0
1,13,18,4,0
1,9,15,4,0
1,8,20,7,1
1,10,8,5,0
1,11,11,6,0
1,10,13,3,0
1,6,14,4,0
1,8,12,4,0
1,8,7,5,0
1,11,14,3,0
1,12,16,2,0
1,8,10,4,0
1,11,14,4,0
1,7,15,2,0
1,8,9,3,0
1,8,16,4,0
1,9,13,4,0
1,10,22,5,0
1,9,21,6,0
1,8,12,6,0
1,14,19,5,0
1,13,24,4,0
1,12,10,5,0
1,7,17,5,0
1,10,18,3,0
1,10,11,6,0
1,8,9,6,0
1,10,10,3,0
1,12,16,2,0
1,7,11,2,0
1,16,27,2,1
1,5,16,3,0
1,12,23,2,0
1,8,16,2,0
1,15,21,3,0
1,19,31,6,1
1,10,22,5,1
1,13,18,4,0
1,8,7,3,0
1,6,10,2,0
1,12,17,8,0
1,13,25,5,1
1,8,7,2,0
1,6,9,3,0
1,4,11,2,0
1,9,11,4,0
1,6,13,4,0
1,8,24,3,0
1,11,15,6,0
1,8,8,5,0
1,4,13,3,0
1,13,20,4,1
1,11,15,4,0
1,17,21,4,0
1,7,12,5,0
1,19,31,6,1
1,10,8,3,0
1,14,19,3,1
1,10,21,8,0
1,8,8,5,0
1,8,14,4,0
1,11,16,4,0
1,8,12,4,0
1,13,18,6,0
1,11,22,2,0
1,5,10,3,0
1,7,9,3,0
1,9,8,2,0
1,8,20,7,0
1,6,13,6,0
1,13,25,6,1
1,5,11,4,0
1,9,13,4,0
1,13,13,4,0
1,7,9,4,0
1,7,16,5,0
1,12,18,5,0
1,12,29,4,0
1,10,19,3,0
1,14,12,5,0
1,5,13,2,0
1,10,19,2,0
1,12,25,6,0
1,18,29,5,1
1,9,22,5,0
1,6,13,7,0
1,7,23,5,0
1,9,13,4,0
1,11,19,5,0
1,11,27,6,1
1,10,12,4,0
1,11,20,4,0
1,5,27,3,0
1,14,25,2,0
1,10,20,5,0
1,9,18,2,0
1,9,23,7,1
1,8,9,5,0
1,16,22,3,1
1,7,16,3,0
1,7,16,7,0
1,10,7,3,0
1,6,9,6,0
1,7,14,6,0
1,9,14,3,0
1,9,13,7,0
1,9,12,2,0
1,10,13,4,0
1,7,11,2,0
1,12,6,6,0
1,10,13,3,0
1,11,19,5,0
1,14,19,5,0
1,8,8,6,0
1,13,25,6,0
1,7,9,4,0
1,7,22,3,0
1,11,11,6,0
1,16,13,6,0
1,13,28,4,1
1,16,15,4,0
1,14,19,2,0
1,4,17,2,0
1,5,17,2,0
1,19,16,2,0
1,12,20,5,0
1,9,8,2,0
1,6,9,4,0
1,12,19,7,0
1,6,9,5,0
1,9,14,6,0
1,8,12,3,0
1,8,14,3,0
1,8,8,3,0
1,16,8,4,0
1,10,23,3,1
1,8,7,5,0
1,12,22,5,1
1,9,13,5,0
1,8,27,3,1
1,13,20,8,0
1,13,19,6,1
1,10,22,4,1
1,6,9,4,0
1,12,22,5,0
1,8,8,5,0
1,11,16,3,0
1,12,9,5,0
1,16,22,4,1
1,6,16,4,0
1,10,27,5,0
1,10,21,4,0
1,9,12,2,0
1,12,14,4,0
1,13,26,4,1
1,7,11,6,0
1,18,25,6,1
1,16,25,4,0
1,7,16,2,0
1,10,17,3,0
1,18,22,6,0
1,7,19,4,0
1,12,22,4,0
1,9,17,4,0
1,7,11,4,0
1,15,27,6,1
1,18,29,6,1
1,7,18,4,0
5,9,12,5,0
5,11,14,3,0
5,10,20,7,0
5,9,12,5,0
5,7,13,7,0
5,5,12,4,0
5,7,14,5,0
5,11,12,3,0
5,8,12,5,0
5,12,18,5,0
5,14,17,3,0
5,10,14,3,0
5,10,11,6,0
5,2,13,4,0
5,22,12,4,0
5,19,4,6,0
5,14,12,7,0
5,15,9,4,0
5,6,12,5,0
5,0,18,7,0
5,12,14,4,0
5,10,14,5,0
5,4,18,4,0
5,9,18,8,0
5,7,12,5,0
5,7,11,3,0
5,16,25,8,1
5,19,12,7,0
5,19,19,4,0
5,15,23,7,1
5,13,7,4,0
5,16,10,6,0
5,7,13,7,0
5,15,15,7,1
5,21,21,5,0
5,14,21,5,0
5,3,15,6,0
5,0,17,4,0
5,10,19,3,0
5,5,12,6,0
5,17,0,2,0
5,21,12,4,1
5,12,21,6,1
5,17,27,4,1
5,13,11,7,0
5,13,13,7,0
5,5,10,3,0
5,15,20,7,1
5,4,18,5,0
5,17,27,7,1
5,6,9,4,0
5,21,21,7,0
5,18,12,6,1
5,15,16,6,1
5,15,21,7,0
5,20,25,4,1
5,14,4,3,0
5,14,20,5,0
5,14,12,4,0
5,6,13,4,0
5,17,17,4,1
5,12,7,4,0
5,8,14,6,0
5,8,14,3,0
5,14,18,3,0
5,18,17,6,0
5,8,12,3,0
5,4,14,2,0
5,14,10,5,0
5,15,12,3,0
5,4,14,6,0
5,8,18,7,0
5,9,11,5,0
5,12,16,3,0
5,7,12,6,0
5,21,19,6,1
5,7,15,6,0
5,14,10,5,0
5,11,21,5,0
5,13,15,5,0
5,17,18,4,1
5,9,21,5,1
5,13,13,6,0
5,10,22,4,1
5,7,16,3,0
5,12,12,7,0
5,6,13,4,0
5,8,15,6,0
5,15,14,7,0
5,14,12,3,0
5,11,10,2,0
5,5,12,6,0
5,12,13,5,0
5,11,13,3,0
5,14,12,4,0
5,8,16,5,0
5,8,12,4,0
5,10,16,4,0
5,3,12,5,0
5,14,14,6,0
5,7,19,2,0
5,8,15,5,0
5,14,17,7,1
5,9,12,4,0
5,18,24,9,1
5,7,11,2,0
5,15,0,4,0
5,9,12,3,0
5,16,13,6,0
5,11,9,3,0
5,6,11,5,0
5,18,25,9,1
5,4,16,7,0
5,15,15,4,0
5,17,17,4,0
5,11,13,2,0
5,12,24,6,1
5,17,22,5,1
5,6,9,4,0
5,17,14,7,1
5,12,12,4,0
5,15,11,3,0
5,15,27,9,1
5,14,18,8,0
5,20,12,7,0
5,7,16,2,0
5,8,11,3,0
5,10,11,2,0
5,8,12,2,0
5,9,15,5,0
5,19,27,6,1
5,15,15,3,0
5,2,17,3,0
5,10,13,2,0
5,10,8,3,0
5,13,29,6,1
5,11,14,6,0
5,14,10,2,0
5,12,14,4,0
5,7,15,8,0
5,10,12,2,0
5,10,14,5,0
5,16,10,2,0
5,14,12,4,0
5,8,15,5,0
5,12,12,2,0
5,7,12,2,0
5,12,9,3,0
5,7,13,3,0
5,13,12,1,0
5,4,11,3,0
5,15,15,5,0
5,6,9,4,0
5,10,14,2,0
5,9,13,5,0
5,13,11,7,0
5,14,8,6,0
5,12,10,3,0
5,10,14,5,0
5,18,14,4,0
5,14,13,5,0
5,5,22,6,0
5,11,16,7,0
5,6,13,7,0
5,11,10,2,0
5,18,17,7,1
5,7,14,6,0
5,10,12,6,0
4,10,5,3,0
4,0,15,3,0
4,3,12,2,0
4,2,13,4,0
4,11,14,5,0
4,4,11,4,0
4,17,12,6,0
4,13,15,7,0
4,9,15,6,0
4,8,14,4,0
4,5,11,6,0
4,9,6,3,0
4,4,21,6,0
4,1,14,6,0
4,13,13,5,0
4,7,10,4,0
4,10,7,7,0
4,7,10,3,0
4,7,23,9,0
4,10,12,4,0
4,13,20,9,0
4,5,20,7,0
4,5,14,4,0
4,7,8,7,0
4,5,14,5,0
4,6,17,3,0
4,22,17,5,1
4,13,9,5,0
4,9,27,7,0
4,7,32,7,1
4,2,19,5,0
4,3,14,7,0
4,4,14,6,0
4,9,7,2,0
4,7,9,5,0
4,20,32,8,1
4,19,32,9,1
4,4,25,7,0
4,4,11,3,0
4,4,11,6,0
4,10,25,8,1
4,10,36,8,1
4,10,19,6,1
4,20,30,8,1
4,5,17,5,0
4,11,32,8,1
4,8,8,4,0
4,10,33,7,1
4,10,24,7,1
4,9,20,6,0
4,7,11,5,0
4,23,28,9,1
4,6,23,6,0
4,13,23,4,1
4,20,21,4,1
4,7,12,5,0
4,12,23,6,0
4,14,19,8,1
4,17,32,10,1
4,10,21,8,1
4,10,20,6,0
4,8,17,6,0
4,7,15,5,0
4,5,33,6,1
4,13,14,5,0
4,6,14,6,0
4,14,29,6,1
4,7,8,7,0
4,8,31,9,1
4,8,16,3,0
4,7,27,5,1
4,10,19,8,1
4,15,10,4,0
4,7,21,4,0
4,13,23,8,1
4,5,10,5,0
4,9,20,8,1
4,5,21,6,0
4,18,32,8,1
4,5,29,7,0
4,14,18,6,0
4,10,21,4,0
4,11,10,2,0
4,7,8,3,0
4,6,12,3,0
4,13,16,6,0
4,18,30,8,1
4,11,22,4,0
4,5,14,5,0
4,19,36,7,1
4,1,14,6,0
4,13,10,2,0
4,12,17,6,0
4,4,13,4,0
4,10,12,2,0
4,11,18,2,0
4,6,10,7,0
4,6,12,4,0
4,4,20,8,0
4,8,16,6,0
4,5,14,8,0
4,13,17,5,0
4,11,17,3,0
4,4,11,7,0
4,7,17,6,0
4,5,23,4,0
4,5,10,4,0
4,10,33,8,1
4,4,26,5,1
4,5,23,7,0
4,13,31,5,1
4,11,23,5,0
4,4,11,2,0
4,5,10,2,0
4,8,19,8,0
4,2,17,8,0
4,8,16,4,0
4,5,11,6,0
4,7,11,4,0
4,16,25,5,1
4,9,21,5,0
4,14,36,5,1
4,6,9,4,0
4,7,15,4,0
4,7,26,7,0
4,5,13,6,0
4,7,26,6,0
4,5,10,2,0
4,9,25,8,0
4,8,11,5,0
4,7,14,6,0
4,11,14,5,0
4,9,21,7,1
4,5,15,2,0
4,2,13,6,0
4,4,14,7,0
4,4,11,6,0
4,5,14,4,0
4,7,17,4,0
4,10,21,7,0
4,6,9,5,0
4,2,14,4,0
4,7,19,5,0
4,19,36,8,1
4,19,36,9,1
4,5,16,6,0
4,14,36,9,1
4,6,10,4,0
4,4,16,4,0
4,4,16,5,0
4,7,23,2,0
4,7,17,6,0
4,6,23,5,0
4,8,22,6,0
4,5,10,4,0
4,6,19,4,0
4,7,19,5,0
4,4,20,5,0
4,8,23,7,0
4,20,14,5,1
4,14,8,7,0
4,8,20,7,0
4,3,14,6,0
4,16,25,9,1
4,1,14,2,0
4,10,28,9,1
4,6,9,5,0
4,4,20,7,0
4,12,14,6,0
4,13,5,3,0
4,4,24,7,0
4,10,19,6,0
4,14,29,4,1
4,1,14,2,0
4,7,31,8,1
4,4,19,7,0
4,14,10,7,0
4,5,13,2,0
4,10,28,8,1
4,9,31,8,1
4,5,10,5,0
4,8,23,8,0
4,7,13,5,0
4,7,15,7,0
4,3,13,7,0
4,18,33,9,1
4,8,10,7,0
4,4,20,6,0
4,14,31,9,1
4,7,34,10,1
4,0,15,5,0
4,7,18,7,0
4,4,13,2,0
4,8,34,7,1
4,13,27,6,1
4,8,10,4,0
4,11,5,3,0
4,12,36,7,1
4,3,13,2,0
4,8,16,7,0
4,2,15,4,0
4,0,15,5,0
4,5,20,5,0
4,8,9,6,0
4,4,15,4,0
4,6,25,7,0
4,7,12,8,0
4,10,28,7,0
4,8,27,4,0
4,7,18,4,0
4,14,16,5,0
4,4,12,5,0
4,5,10,6,0
4,7,20,8,0
4,5,12,9,0
4,6,16,8,0
4,10,24,3,0
4,13,29,8,1
4,9,8,7,0
4,9,13,3,0
4,5,15,7,0
4,1,14,4,0
4,1,25,5,0
4,4,11,3,0
